Date,Visitor,Visitor Score,Home Team,Home Score,Line
10/11/2014,Middle Tennessee,,Marshall,,
10/11/2014,Massachusetts,,Kent State,,
10/11/2014,Florida State,,Syracuse,,
10/11/2014,Duke,,Georgia Tech,,
10/11/2014,Illinois,,Wisconsin,,
10/11/2014,Boston College,,No Carolina State,,
10/11/2014,Cincinnati,,Miami-Florida,,
10/11/2014,Buffalo,,Eastern Michigan,,
10/11/2014,Miami-Ohio,,Akron,,
10/11/2014,Indiana,,Iowa,,
10/11/2014,Bowling Green,,Ohio,,
10/11/2014,West Virginia,,Texas Tech,,
10/11/2014,Oklahoma State,,Kansas,,
10/11/2014,Texas Christian,,Baylor,,
10/11/2014,Houston,,Memphis,,
10/11/2014,North Texas,,U-A-B,,
10/11/2014,Auburn,,Mississippi State,,
10/11/2014,Western Michigan,,Ball State,,
10/11/2014,New Mexico State,,Troy,,
10/11/2014,Alabama,,Arkansas,,
10/11/2014,Louisiana State,,Florida,,
10/11/2014,Toledo,,Iowa State,,
10/11/2014,Oregon,,U.C.L.A.,,
10/11/2014,Southern Cal,,Arizona,,
10/11/2014,Washington,,California,,
10/11/2014,Georgia,,Missouri,,
10/11/2014,Louisville,,Clemson,,
10/11/2014,North Carolina,,Notre Dame,,
10/11/2014,Central Michigan,,Northern Illinois,,
10/11/2014,Idaho,,Georgia Southern,,
10/11/2014,Arkansas State,,Georgia State,,
10/11/2014,Florida Intl,,Texas-San Antonio,,
10/11/2014,UL-Monroe,,Kentucky,,
10/11/2014,Mississippi,,Texas A+M,,
10/11/2014,Air Force,,Utah State,,
10/11/2014,East Carolina,,South Florida,,
10/11/2014,Penn State,,Michigan,,
10/11/2014,Old Dominion,,UTEP,,
10/11/2014,Connecticut,,Tulane,,
10/11/2014,Colorado State,,Nevada-Reno,,
10/11/2014,Wyoming,,Hawaii,,
10/11/2014,Charleston Southern,,Vanderbilt,,
10/11/2014,Virginia Military,,Navy,,
10/11/2014,Liberty,,Appalachian State,,
10/11/2014,Chattanooga,,Tennessee,,
10/14/2014,UL-Lafayette,,Texas State,,
10/16/2014,Virginia Tech,,Pittsburgh,,
10/16/2014,Utah,,Oregon State,,
10/17/2014,Fresno State,,Boise State,,
10/17/2014,Temple,,Houston,,
10/18/2014,Marshall,,Florida Intl,,
10/18/2014,Syracuse,,Wake Forest,,
10/18/2014,Miami-Ohio,,Northern Illinois,,
10/18/2014,Akron,,Ohio,,
10/18/2014,Purdue,,Minnesota,,
10/18/2014,Iowa,,Maryland,,
10/18/2014,Baylor,,West Virginia,,
10/18/2014,Virginia,,Duke,,
10/18/2014,Georgia Tech,,North Carolina,,
10/18/2014,No Carolina State,,Louisville,,
10/18/2014,Eastern Michigan,,Massachusetts,,
10/18/2014,Western Michigan,,Bowling Green,,
10/18/2014,Ball State,,Central Michigan,,
10/18/2014,Georgia,,Arkansas,,
10/18/2014,San Jose State,,Wyoming,,
10/18/2014,New Mexico,,Air Force,,
10/18/2014,South Florida,,Tulsa,,
10/18/2014,Texas-San Antonio,,Louisiana Tech,,
10/18/2014,Southern Miss,,North Texas,,
10/18/2014,Cincinnati,,S-M-U,,
10/18/2014,Appalachian State,,Troy,,
10/18/2014,Nevada-Reno,,Brigham Young,,
10/18/2014,Army,,Kent State,,
10/18/2014,Stanford,,Arizona State,,
10/18/2014,Washington,,Oregon,,
10/18/2014,U.C.L.A.,,California,,
10/18/2014,U-A-B,,Middle Tennessee,,
10/18/2014,Rutgers,,Ohio State,,
10/18/2014,Texas A+M,,Alabama,,
10/18/2014,Colorado,,Southern Cal,,
10/18/2014,Michigan State,,Indiana,,
10/18/2014,Clemson,,Boston College,,
10/18/2014,Kansas State,,Oklahoma,,
10/18/2014,New Mexico State,,Idaho,,
10/18/2014,Georgia State,,South Alabama,,
10/18/2014,Western Kentucky,,Florida Atlantic,,
10/18/2014,Utah State,,Colorado State,,
10/18/2014,Tennessee,,Mississippi,,
10/18/2014,Iowa State,,Texas,,
10/18/2014,Missouri,,Florida,,
10/18/2014,Kansas,,Texas Tech,,
10/18/2014,Oklahoma State,,Texas Christian,,
10/18/2014,Tulane,,U-C-F,,
10/18/2014,Nebraska,,Northwestern,,
10/18/2014,Kentucky,,Louisiana State,,
10/18/2014,Notre Dame,,Florida State,,
10/18/2014,Hawaii,,San Diego State,,
10/18/2014,Furman,,South Carolina,,
10/21/2014,Arkansas State,,UL-Lafayette,,
10/23/2014,Connecticut,,East Carolina,,
10/23/2014,Miami-Florida,,Virginia Tech,,
10/24/2014,Troy,,South Alabama,,
10/24/2014,South Florida,,Cincinnati,,
10/24/2014,Brigham Young,,Boise State,,
10/24/2014,Oregon,,California,,
10/25/2014,South Carolina,,Auburn,,
10/25/2014,Northern Illinois,,Eastern Michigan,,
10/25/2014,Mississippi State,,Kentucky,,
10/25/2014,Syracuse,,Clemson,,
10/25/2014,Minnesota,,Illinois,,
10/25/2014,Akron,,Ball State,,
10/25/2014,Central Michigan,,Buffalo,,
10/25/2014,Ohio,,Western Michigan,,
10/25/2014,Boston College,,Wake Forest,,
10/25/2014,Temple,,U-C-F,,
10/25/2014,North Carolina,,Virginia,,
10/25/2014,Georgia Tech,,Pittsburgh,,
10/25/2014,Maryland,,Wisconsin,,
10/25/2014,Vanderbilt,,Missouri,,
10/25/2014,San Jose State,,Navy,,
10/25/2014,Nevada-Las Vegas,,Utah State,,
10/25/2014,Massachusetts,,Toledo,,
10/25/2014,U.C.L.A.,,Colorado,,
10/25/2014,Rutgers,,Nebraska,,
10/25/2014,Kent State,,Miami-Ohio,,
10/25/2014,U-A-B,,Arkansas,,
10/25/2014,Texas Tech,,Texas Christian,,
10/25/2014,Memphis,,S-M-U,,
10/25/2014,Oregon State,,Stanford,,
10/25/2014,Alabama,,Tennessee,,
10/25/2014,Michigan,,Michigan State,,
10/25/2014,Wyoming,,Colorado State,,
10/25/2014,Mississippi,,Louisiana State,,
10/25/2014,Arizona,,Washington State,,
10/25/2014,Southern Cal,,Utah,,
10/25/2014,Georgia Southern,,Georgia State,,
10/25/2014,North Texas,,Rice,,
10/25/2014,Louisiana Tech,,Southern Miss,,
10/25/2014,UTEP,,Texas-San Antonio,,
10/25/2014,Florida Atlantic,,Marshall,,
10/25/2014,Texas State,,UL-Monroe,,
10/25/2014,Old Dominion,,Western Kentucky,,
10/25/2014,West Virginia,,Oklahoma State,,
10/25/2014,Texas,,Kansas State,,
10/25/2014,Ohio State,,Penn State,,
10/25/2014,Arizona State,,Washington,,
10/25/2014,Nevada-Reno,,Hawaii,,
10/30/2014,Troy,,Georgia Southern,,
10/30/2014,Florida State,,Louisville,,
10/31/2014,Tulsa,,Memphis,,
10/31/2014,Cincinnati,,Tulane,,
11/01/2014,Notre Dame,,Navy,,
11/01/2014,Boston College,,Virginia Tech,,
11/01/2014,East Carolina,,Temple,,
11/01/2014,U-C-F,,Connecticut,,
11/01/2014,Wisconsin,,Rutgers,,
11/01/2014,No Carolina State,,Syracuse,,
11/01/2014,Duke,,Pittsburgh,,
11/01/2014,Maryland,,Penn State,,
11/01/2014,North Carolina,,Miami-Florida,,
11/01/2014,Georgia State,,Appalachian State,,
11/01/2014,Air Force,,Army,,
11/01/2014,Central Michigan,,Eastern Michigan,,
11/01/2014,Northwestern,,Iowa,,
11/01/2014,Texas,,Texas Tech,,
11/01/2014,Purdue,,Nebraska,,
11/01/2014,Kansas,,Baylor,,
11/01/2014,Western Michigan,,Miami-Ohio,,
11/01/2014,Auburn,,Mississippi,,
11/01/2014,Kentucky,,Missouri,,
11/01/2014,Arkansas,,Mississippi State,,
11/01/2014,Western Kentucky,,Louisiana Tech,,
11/01/2014,UL-Monroe,,Texas A+M,,
11/01/2014,Brigham Young,,Middle Tennessee,,
11/01/2014,Tennessee,,South Carolina,,
11/01/2014,Florida,,Georgia,,
11/01/2014,Southern Cal,,Washington State,,
11/01/2014,Stanford,,Oregon,,
11/01/2014,Oklahoma,,Iowa State,,
11/01/2014,Oklahoma State,,Kansas State,,
11/01/2014,Indiana,,Michigan,,
11/01/2014,Virginia,,Georgia Tech,,
11/01/2014,Arkansas State,,Idaho,,
11/01/2014,South Alabama,,UL-Lafayette,,
11/01/2014,Old Dominion,,Vanderbilt,,
11/01/2014,Rice,,Florida Intl,,
11/01/2014,Washington,,Colorado,,
11/01/2014,California,,Oregon State,,
11/01/2014,Arizona,,U.C.L.A.,,
11/01/2014,Colorado State,,San Jose State,,
11/01/2014,Utah,,Arizona State,,
11/01/2014,Texas Christian,,West Virginia,,
11/01/2014,Houston,,South Florida,,
11/01/2014,U-A-B,,Florida Atlantic,,
11/01/2014,Southern Miss,,UTEP,,
11/01/2014,New Mexico,,Nevada-Las Vegas,,
11/01/2014,Texas State,,New Mexico State,,
11/01/2014,Illinois,,Ohio State,,
11/01/2014,Wyoming,,Fresno State,,
11/01/2014,San Diego State,,Nevada-Reno,,
11/01/2014,Utah State,,Hawaii,,
11/04/2014,Bowling Green,,Akron,,
11/04/2014,Toledo,,Kent State,,
11/05/2014,Buffalo,,Ohio,,
11/05/2014,Northern Illinois,,Ball State,,
11/06/2014,Clemson,,Wake Forest,,
11/07/2014,Memphis,,Temple,,
11/07/2014,Utah State,,Wyoming,,
11/08/2014,Air Force,,Nevada-Las Vegas,,
11/08/2014,Georgia Tech,,No Carolina State,,
11/08/2014,Iowa,,Minnesota,,
11/08/2014,S-M-U,,Tulsa,,
11/08/2014,Texas-San Antonio,,Rice,,
11/08/2014,Wisconsin,,Purdue,,
11/08/2014,Georgia State,,Troy,,
11/08/2014,UL-Monroe,,Appalachian State,,
11/08/2014,Connecticut,,Army,,
11/08/2014,Duke,,Syracuse,,
11/08/2014,Florida,,Vanderbilt,,
11/08/2014,Georgia,,Kentucky,,
11/08/2014,Iowa State,,Kansas,,
11/08/2014,Michigan,,Northwestern,,
11/08/2014,Ohio State,,Michigan State,,
11/08/2014,Penn State,,Indiana,,
11/08/2014,Presbyterian,,Mississippi,,
11/08/2014,Tennessee-Martin,,Mississippi State,,
11/08/2014,South Alabama,,Arkansas State,,
11/08/2014,Alabama,,Louisiana State,,
11/08/2014,Idaho,,San Diego State,,
11/08/2014,Boise State,,New Mexico,,
11/08/2014,Florida Atlantic,,North Texas,,
11/08/2014,Florida Intl,,Old Dominion,,
11/08/2014,Hawaii,,Colorado State,,
11/08/2014,Louisiana Tech,,U-A-B,,
11/08/2014,Marshall,,Southern Miss,,
11/08/2014,Georgia Southern,,Texas State,,
11/08/2014,Kansas State,,Texas Christian,,
11/08/2014,Texas A+M,,Auburn,,
11/08/2014,Virginia,,Florida State,,
11/08/2014,Baylor,,Oklahoma,,
11/08/2014,Louisville,,Boston College,,
11/08/2014,UL-Lafayette,,New Mexico State,,
11/08/2014,UTEP,,Western Kentucky,,
11/08/2014,West Virginia,,Texas,,
11/08/2014,Tulane,,Houston,,
11/08/2014,Notre Dame,,Arizona State,,
11/08/2014,Oregon,,Utah,,
11/08/2014,U.C.L.A.,,Washington,,
11/08/2014,Washington State,,Oregon State,,
11/08/2014,Colorado,,Arizona,,
11/08/2014,San Jose State,,Fresno State,,
11/11/2014,Akron,,Buffalo,,
11/11/2014,Toledo,,Northern Illinois,,
11/12/2014,Ball State,,Massachusetts,,
11/12/2014,Kent State,,Bowling Green,,
11/13/2014,East Carolina,,Cincinnati,,
11/13/2014,Southern Miss,,Texas-San Antonio,,
11/13/2014,California,,Southern Cal,,
11/14/2014,Tulsa,,U-C-F,,
11/15/2014,Army,,Western Kentucky,,
11/15/2014,Missouri,,Texas A+M,,
11/15/2014,Ohio State,,Minnesota,,
11/15/2014,South Florida,,S-M-U,,
11/15/2014,Eastern Michigan,,Western Michigan,,
11/15/2014,Nevada-Reno,,Air Force,,
11/15/2014,Appalachian State,,Arkansas State,,
11/15/2014,Georgia Southern,,Navy,,
11/15/2014,Indiana,,Rutgers,,
11/15/2014,Louisiana State,,Arkansas,,
11/15/2014,Northwestern,,Notre Dame,,
11/15/2014,Pittsburgh,,North Carolina,,
11/15/2014,South Carolina,,Florida,,
11/15/2014,Texas Christian,,Kansas,,
11/15/2014,Nevada-Las Vegas,,Brigham Young,,
11/15/2014,Virginia Tech,,Duke,,
11/15/2014,Wake Forest,,No Carolina State,,
11/15/2014,Miami-Ohio,,Central Michigan,,
11/15/2014,Texas State,,South Alabama,,
11/15/2014,Troy,,Idaho,,
11/15/2014,Mississippi State,,Alabama,,
11/15/2014,Middle Tennessee,,Florida Intl,,
11/15/2014,New Mexico,,Utah State,,
11/15/2014,North Texas,,UTEP,,
11/15/2014,Rice,,Marshall,,
11/15/2014,San Diego State,,Boise State,,
11/15/2014,Auburn,,Georgia,,
11/15/2014,Clemson,,Georgia Tech,,
11/15/2014,Florida State,,Miami-Florida,,
11/15/2014,Kentucky,,Tennessee,,
11/15/2014,Memphis,,Tulane,,
11/15/2014,Nebraska,,Wisconsin,,
11/15/2014,Texas,,Oklahoma State,,
11/15/2014,Iowa,,Illinois,,
11/15/2014,Michigan State,,Maryland,,
11/15/2014,Oklahoma,,Texas Tech,,
11/15/2014,UL-Lafayette,,UL-Monroe,,
11/15/2014,Temple,,Penn State,,
11/15/2014,Utah,,Stanford,,
11/15/2014,Arizona State,,Oregon State,,
11/15/2014,Washington,,Arizona,,
11/15/2014,Hawaii,,San Jose State,,
11/18/2014,Massachusetts,,Akron,,
11/18/2014,Northern Illinois,,Ohio,,
11/19/2014,Bowling Green,,Toledo,,
11/19/2014,Kent State,,Buffalo,,
11/20/2014,Kansas State,,West Virginia,,
11/20/2014,North Carolina,,Duke,,
11/20/2014,Arkansas State,,Texas State,,
11/21/2014,UTEP,,Rice,,
11/21/2014,Air Force,,San Diego State,,
11/21/2014,San Jose State,,Utah State,,
11/22/2014,Fordham,,Army,,
11/22/2014,Minnesota,,Nebraska,,
11/22/2014,Missouri,,Tennessee,,
11/22/2014,S-M-U,,U-C-F,,
11/22/2014,Wisconsin,,Iowa,,
11/22/2014,Louisiana Tech,,Old Dominion,,
11/22/2014,New Mexico,,Colorado State,,
11/22/2014,Appalachian State,,UL-Lafayette,,
11/22/2014,Savannah State,,Brigham Young,,
11/22/2014,Charleston Southern,,Georgia,,
11/22/2014,Eastern Kentucky,,Florida,,
11/22/2014,Indiana,,Ohio State,,
11/22/2014,Kansas,,Oklahoma,,
11/22/2014,Louisville,,Notre Dame,,
11/22/2014,Mississippi,,Arkansas,,
11/22/2014,Northwestern,,Purdue,,
11/22/2014,Texas Tech,,Iowa State,,
11/22/2014,Vanderbilt,,Mississippi State,,
11/22/2014,South Alabama,,South Carolina,,
11/22/2014,Western Michigan,,Central Michigan,,
11/22/2014,Western Carolina,,Alabama,,
11/22/2014,Boise State,,Wyoming,,
11/22/2014,Cincinnati,,Connecticut,,
11/22/2014,Florida Atlantic,,Middle Tennessee,,
11/22/2014,Florida Intl,,North Texas,,
11/22/2014,Marshall,,U-A-B,,
11/22/2014,Tulane,,East Carolina,,
11/22/2014,Georgia State,,Clemson,,
11/22/2014,Miami-Florida,,Virginia,,
11/22/2014,Samford,,Auburn,,
11/22/2014,South Florida,,Memphis,,
11/22/2014,Syracuse,,Pittsburgh,,
11/22/2014,Virginia Tech,,Wake Forest,,
11/22/2014,Boston College,,Florida State,,
11/22/2014,Eastern Michigan,,Ball State,,
11/22/2014,Maryland,,Michigan,,
11/22/2014,UL-Monroe,,New Mexico State,,
11/22/2014,Oklahoma State,,Baylor,,
11/22/2014,Penn State,,Illinois,,
11/22/2014,Rutgers,,Michigan State,,
11/22/2014,Texas-San Antonio,,Western Kentucky,,
11/22/2014,Stanford,,California,,
11/22/2014,Tulsa,,Houston,,
11/22/2014,Colorado,,Oregon,,
11/22/2014,Oregon State,,Washington,,
11/22/2014,Southern Cal,,U.C.L.A.,,
11/22/2014,Washington State,,Arizona State,,
11/22/2014,Arizona,,Utah,,
11/22/2014,Fresno State,,Nevada-Reno,,
11/22/2014,Nevada-Las Vegas,,Hawaii,,
11/25/2014,Akron,,Kent State,,
11/25/2014,Ohio,,Miami-Ohio,,
11/27/2014,Louisiana State,,Texas A+M,,
11/27/2014,Texas Christian,,Texas,,
11/28/2014,Western Kentucky,,Marshall,,
11/28/2014,Virginia,,Virginia Tech,,
11/28/2014,Toledo,,Eastern Michigan,,
11/28/2014,Arkansas,,Missouri,,
11/28/2014,Arizona State,,Arizona,,
11/28/2014,Colorado State,,Air Force,,
11/28/2014,Navy,,South Alabama,,
11/28/2014,Stanford,,U.C.L.A.,,
11/28/2014,U-C-F,,South Florida,,
11/28/2014,East Carolina,,Tulsa,,
11/28/2014,Ball State,,Bowling Green,,
11/28/2014,Buffalo,,Massachusetts,,
11/28/2014,Northern Illinois,,Western Michigan,,
11/28/2014,Houston,,S-M-U,,
11/29/2014,Minnesota,,Wisconsin,,
11/29/2014,Nebraska,,Iowa,,
11/29/2014,Rice,,Louisiana Tech,,
11/29/2014,Nevada-Reno,,Nevada-Las Vegas,,
11/29/2014,Texas State,,Georgia State,,
11/29/2014,Brigham Young,,California,,
11/29/2014,Idaho,,Appalachian State,,
11/29/2014,Wyoming,,New Mexico,,
11/29/2014,Connecticut,,Memphis,,
11/29/2014,Florida,,Florida State,,
11/29/2014,Georgia Tech,,Georgia,,
11/29/2014,Kansas,,Kansas State,,
11/29/2014,Michigan,,Ohio State,,
11/29/2014,Middle Tennessee,,UTEP,,
11/29/2014,Notre Dame,,Southern Cal,,
11/29/2014,Purdue,,Indiana,,
11/29/2014,San Jose State,,San Diego State,,
11/29/2014,West Virginia,,Iowa State,,
11/29/2014,Mississippi State,,Mississippi,,
11/29/2014,Washington,,Washington State,,
11/29/2014,Auburn,,Alabama,,
11/29/2014,UL-Monroe,,Georgia Southern,,
11/29/2014,Cincinnati,,Temple,,
11/29/2014,North Texas,,Texas-San Antonio,,
11/29/2014,Old Dominion,,Florida Atlantic,,
11/29/2014,Utah State,,Boise State,,
11/29/2014,Kentucky,,Louisville,,
11/29/2014,No Carolina State,,North Carolina,,
11/29/2014,Pittsburgh,,Miami-Florida,,
11/29/2014,South Carolina,,Clemson,,
11/29/2014,UL-Lafayette,,Troy,,
11/29/2014,Wake Forest,,Duke,,
11/29/2014,Illinois,,Northwestern,,
11/29/2014,Michigan State,,Penn State,,
11/29/2014,Rutgers,,Maryland,,
11/29/2014,Syracuse,,Boston College,,
11/29/2014,Tennessee,,Vanderbilt,,
11/29/2014,Texas Tech,,Baylor,,
11/29/2014,U-A-B,,Southern Miss,,
11/29/2014,New Mexico State,,Arkansas State,,
11/29/2014,Oregon,,Oregon State,,
11/29/2014,Utah,,Colorado,,
11/29/2014,Hawaii,,Fresno State,,
12/04/2014,U-C-F,,East Carolina,,
12/06/2014,Iowa State,,Texas Christian,,
12/06/2014,S-M-U,,Connecticut,,
12/06/2014,Houston,,Cincinnati,,
12/06/2014,Temple,,Tulane,,
12/06/2014,Kansas State,,Baylor,,
12/06/2014,Oklahoma State,,Oklahoma,,
12/13/2014,Navy,,Army,,
