Date,Visitor,Visitor Score,Home Team,Home Score,Line,Win,Delta
1978-09-16,Northwestern,3,Iowa,20,14,1,17
1978-09-23,Iowa State,31,Iowa,0,-2.5,0,-31
1978-10-07,Utah,13,Iowa,9, ,0,-4
1978-10-28,Purdue,34,Iowa,7,-10.5,0,-27
1978-11-04,Michigan,34,Iowa,0,-27,0,-34
1978-11-18,Wisconsin,24,Iowa,38,-4,1,14
1979-09-08,Indiana,30,Iowa,26,-2.5,0,-4
1979-09-22,Nebraska,24,Iowa,21,-18,0,-3
1979-09-29,Iowa State,14,Iowa,30,-5.5,1,16
1979-10-20,Minnesota,24,Iowa,7,2.5,0,-17
1979-11-03,Purdue,20,Iowa,14,-6,0,-6
1979-11-17,Michigan State,23,Iowa,33,-1,1,10
1980-09-27,Iowa State,10,Iowa,7,4,0,-3
1980-10-04,Arizona,5,Iowa,3,6,0,-2
1980-10-11,Illinois,20,Iowa,14,8,0,-6
1980-10-18,Northwestern,3,Iowa,25,27,1,22
1980-11-01,Wisconsin,13,Iowa,22,4,1,9
1980-11-15,Ohio State,41,Iowa,7,-22,0,-34
1981-09-12,Nebraska,7,Iowa,10,-16,1,3
1981-09-26,U.C.L.A.,7,Iowa,20,-10,1,13
1981-10-10,Indiana,28,Iowa,42,13.5,1,14
1981-10-24,Minnesota,12,Iowa,10,12,0,-2
1981-11-07,Purdue,7,Iowa,33,3,1,26
1981-11-21,Michigan State,7,Iowa,36,7,1,29
1982-09-18,Iowa State,19,Iowa,7,-1,0,-12
1982-10-02,Northwestern,7,Iowa,45,24,1,38
1982-10-16,Michigan,29,Iowa,7,-7,0,-22
1982-10-30,Illinois,13,Iowa,14,-2,1,1
1982-11-13,Wisconsin,14,Iowa,28,3,1,14
1983-09-24,Ohio State,14,Iowa,20,-3,1,6
1983-10-08,Northwestern,21,Iowa,61,34,1,40
1983-10-15,Purdue,14,Iowa,31,17.5,1,17
1983-10-29,Indiana,3,Iowa,49,23,1,46
1983-11-19,Minnesota,10,Iowa,61,34,1,51
1984-09-08,Iowa State,21,Iowa,59,24,1,38
1984-09-15,Penn State,20,Iowa,17,7,0,-3
1984-09-29,Illinois,16,Iowa,21,5,1,5
1984-10-20,Michigan,0,Iowa,26,8,1,26
1984-11-03,Wisconsin,10,Iowa,10,12.5,0,0
1984-11-10,Michigan State,17,Iowa,16,12,0,-1
1985-09-14,Drake,0,Iowa,58, ,1,58
1985-09-21,Northern Illinois,20,Iowa,48, ,1,28
1985-10-05,Michigan State,31,Iowa,35,16,1,4
1985-10-19,Michigan,10,Iowa,12,-3,1,2
1985-11-09,Illinois,0,Iowa,59,7,1,59
1985-11-23,Minnesota,9,Iowa,31,18,1,22
1986-09-13,Iowa State,7,Iowa,43,16.5,1,36
1986-09-20,Northern Illinois,3,Iowa,57, ,1,54
1986-09-27,UTEP,7,Iowa,69,32,1,62
1986-10-11,Wisconsin,6,Iowa,17,24,1,11
1986-10-25,Northwestern,20,Iowa,27,32,1,7
1986-11-01,Ohio State,31,Iowa,10,3.5,0,-21
1986-11-15,Purdue,14,Iowa,42,24.5,1,28
1987-09-26,Kansas State,13,Iowa,38,42,1,25
1987-10-03,Michigan State,19,Iowa,14,9.8,0,-5
1987-10-24,Purdue,14,Iowa,38,17,1,24
1987-10-31,Indiana,21,Iowa,29,6.5,1,8
1987-11-21,Minnesota,20,Iowa,34,15.5,1,14
1988-09-17,Colorado,24,Iowa,21,5.5,0,-3
1988-09-24,Iowa State,3,Iowa,10,24,1,7
1988-10-08,Wisconsin,6,Iowa,31,22,1,25
1988-10-15,Michigan,17,Iowa,17,-6.5,0,0
1988-11-05,Northwestern,10,Iowa,35,29,1,25
1988-11-12,Ohio State,24,Iowa,24,10.5,0,0
1989-09-16,Oregon,44,Iowa,6,3,0,-38
1989-09-30,Tulsa,22,Iowa,30,9,1,8
1989-10-07,Michigan State,17,Iowa,14,-5,0,-3
1989-10-21,Michigan,26,Iowa,12,-11,0,-14
1989-11-04,Illinois,31,Iowa,7,-4,0,-24
1989-11-25,Minnesota,43,Iowa,7,10.5,0,-36
1990-09-15,Cincinnati,10,Iowa,63,37,1,53
1990-09-22,Iowa State,35,Iowa,45,14,1,10
1990-10-13,Wisconsin,10,Iowa,30,19,1,20
1990-10-27,Northwestern,14,Iowa,56,23.5,1,42
1990-11-10,Ohio State,27,Iowa,26,5.5,0,-1
1990-11-17,Purdue,9,Iowa,38,26,1,29
1991-09-07,Hawaii,10,Iowa,53,15,1,43
1991-09-28,Northern Illinois,7,Iowa,58, ,1,51
1991-10-05,Michigan,43,Iowa,24,0,0,-19
1991-10-19,Illinois,21,Iowa,24,6,1,3
1991-11-09,Indiana,21,Iowa,38,5,1,17
1991-11-23,Minnesota,8,Iowa,23,26,1,15
1992-09-12,Iowa State,7,Iowa,21,16,1,14
1992-10-10,Wisconsin,22,Iowa,23,9,1,1
1992-10-24,Purdue,27,Iowa,16,12.5,0,-11
1992-10-31,Ohio State,38,Iowa,15,-3,0,-23
1992-11-14,Northwestern,14,Iowa,56,14,1,42
1993-09-04,Tulsa,25,Iowa,26,11.5,1,1
1993-09-18,Penn State,31,Iowa,0,-5,0,-31
1993-10-16,Illinois,49,Iowa,3,1,0,-46
1993-10-30,Purdue,17,Iowa,26,6,1,9
1993-11-06,Northern Illinois,20,Iowa,54, ,1,34
1993-11-20,Minnesota,3,Iowa,21,6.5,1,18
1994-09-03,Central Michigan,21,Iowa,52, ,1,31
1994-09-10,Iowa State,9,Iowa,37,10.5,1,28
1994-10-01,Michigan,29,Iowa,14,-18.5,0,-15
1994-10-08,Indiana,27,Iowa,20,3.5,0,-7
1994-10-22,Michigan State,14,Iowa,19,-11,1,5
1994-11-12,Northwestern,13,Iowa,49,5.5,1,36
1995-09-09,Northern Iowa,13,Iowa,34, ,1,21
1995-09-30,New Mexico State,21,Iowa,59, ,1,38
1995-10-14,Indiana,13,Iowa,22,13,1,9
1995-10-21,Penn State,41,Iowa,27,-4.5,0,-14
1995-11-04,Illinois,26,Iowa,7,4,0,-19
1995-11-25,Minnesota,3,Iowa,45,10,1,42
1996-09-07,Arizona,20,Iowa,21,6.5,1,1
1996-09-14,Iowa State,13,Iowa,38,17.5,1,25
1996-10-05,Michigan State,30,Iowa,37,8,1,7
1996-10-26,Ohio State,38,Iowa,26,-14.5,0,-12
1996-11-09,Northwestern,40,Iowa,13,6,0,-27
1996-11-16,Wisconsin,0,Iowa,31,2.5,1,31
1997-09-06,Northern Iowa,0,Iowa,66, ,1,66
1997-09-13,Tulsa,16,Iowa,54,22,1,38
1997-09-27,Illinois,10,Iowa,38,28,1,28
1997-10-25,Indiana,0,Iowa,62,28,1,62
1997-11-01,Purdue,17,Iowa,35,11,1,18
1997-11-22,Minnesota,0,Iowa,31,20,1,31
1998-09-05,Central Michigan,0,Iowa,38,34,1,38
1998-09-12,Iowa State,27,Iowa,9,28,0,-18
1998-10-03,Michigan,12,Iowa,9,-9,0,-3
1998-10-10,Northwestern,24,Iowa,26,10,1,2
1998-10-24,Wisconsin,31,Iowa,0,-6.5,0,-31
1998-11-14,Ohio State,45,Iowa,14,-25,0,-31
1999-09-04,Nebraska,42,Iowa,7,-23.5,0,-35
1999-09-18,Northern Illinois,0,Iowa,24,14.5,1,24
1999-10-09,Penn State,31,Iowa,7,-28,0,-24
1999-10-23,Indiana,38,Iowa,31,-2.5,0,-7
1999-11-06,Illinois,40,Iowa,24,-6.5,0,-16
1999-11-20,Minnesota,25,Iowa,21,-20,0,-4
2000-09-09,Western Michigan,27,Iowa,21,7.5,0,-6
2000-09-16,Iowa State,24,Iowa,14,-2.5,0,-10
2000-10-07,Michigan State,16,Iowa,21,-9.5,1,5
2000-10-21,Ohio State,38,Iowa,10,-18,0,-28
2000-10-28,Wisconsin,13,Iowa,7,-16,0,-6
2000-11-11,Northwestern,17,Iowa,27,-12.5,1,10
2001-09-01,Kent State,0,Iowa,51,27,1,51
2001-09-08,Miami-Ohio,19,Iowa,44,14,1,25
2001-09-29,Penn State,18,Iowa,24,10,1,6
2001-10-20,Indiana,28,Iowa,42,9.5,1,14
2001-10-27,Michigan,32,Iowa,26,-6,0,-6
2001-11-17,Minnesota,24,Iowa,42,12,1,18
2002-08-31,Akron,21,Iowa,57,21,1,36
2002-09-14,Iowa State,36,Iowa,31,2,0,-5
2002-09-21,Utah State,7,Iowa,48,21.5,1,41
2002-10-05,Purdue,28,Iowa,31,8.5,1,3
2002-10-12,Michigan State,16,Iowa,44,4.5,1,28
2002-11-02,Wisconsin,3,Iowa,20,9.5,1,17
2002-11-09,Northwestern,10,Iowa,62,29.5,1,52
2003-08-30,Miami-Ohio,3,Iowa,21,9,1,18
2003-09-06,Buffalo,7,Iowa,56,34,1,49
2003-09-20,Arizona State,2,Iowa,21,6,1,19
2003-10-04,Michigan,27,Iowa,30,-3.5,1,3
2003-10-25,Penn State,14,Iowa,26,10.5,1,12
2003-11-01,Illinois,10,Iowa,41,27,1,31
2003-11-15,Minnesota,22,Iowa,40,5.5,1,18
2004-09-04,Kent State,7,Iowa,39,31,1,32
2004-09-11,Iowa State,10,Iowa,17,25,1,7
2004-10-02,Michigan State,16,Iowa,38,7.5,1,22
2004-10-16,Ohio State,7,Iowa,33,2,1,26
2004-11-06,Purdue,21,Iowa,23,2,1,2
2004-11-20,Wisconsin,7,Iowa,30,3,1,23
2005-09-03,Ball State,0,Iowa,56,38.5,1,56
2005-09-17,Northern Iowa,21,Iowa,45, ,1,24
2005-10-01,Illinois,7,Iowa,35,18,1,28
2005-10-15,Indiana,21,Iowa,38,16,1,17
2005-10-22,Michigan,23,Iowa,20,2.5,0,-3
2005-11-19,Minnesota,28,Iowa,52,4,1,24
2006-09-02,Montana,7,Iowa,41, ,1,34
2006-09-16,Iowa State,17,Iowa,27,13,1,10
2006-09-30,Ohio State,38,Iowa,17,-7,0,-21
2006-10-07,Purdue,17,Iowa,47,10,1,30
2006-10-28,Northern Illinois,14,Iowa,24,14.5,1,10
2006-11-04,Northwestern,21,Iowa,7,20.5,0,-14
2006-11-11,Wisconsin,24,Iowa,21,-1,0,-3
2007-09-08,Syracuse,0,Iowa,35,24,1,35
2007-09-29,Indiana,38,Iowa,20,10,0,-18
2007-10-13,Illinois,6,Iowa,10,-4,1,4
2007-10-27,Michigan State,27,Iowa,34,-3,1,7
2007-11-10,Minnesota,16,Iowa,21,14.5,1,5
2007-11-17,Western Michigan,28,Iowa,19,14,0,-9
2008-08-30,Maine,3,Iowa,46, ,1,43
2008-09-06,Florida Intl,0,Iowa,42,27,1,42
2008-09-13,Iowa State,5,Iowa,17,13.5,1,12
2008-09-27,Northwestern,22,Iowa,17,-8.5,0,-5
2008-10-18,Wisconsin,16,Iowa,38,5,1,22
2008-11-08,Penn State,23,Iowa,24,-8,1,1
2008-11-15,Purdue,17,Iowa,22,17,1,5
2009-09-05,Northern Iowa,16,Iowa,17, ,1,1
2009-09-19,Arizona,17,Iowa,27,4,1,10
2009-10-03,Arkansas State,21,Iowa,24,21,1,3
2009-10-10,Michigan,28,Iowa,30,8,1,2
2009-10-31,Indiana,24,Iowa,42,17.5,1,18
2009-11-07,Northwestern,17,Iowa,10,14,0,-7
2009-11-21,Minnesota,0,Iowa,12,12.5,1,12
2010-09-04,Eastern Illinois,7,Iowa,37, ,1,30
2010-09-11,Iowa State,7,Iowa,35,13.5,1,28
2010-09-25,Ball State,0,Iowa,45,28,1,45
2010-10-02,Penn State,3,Iowa,24,7.5,1,21
2010-10-23,Wisconsin,31,Iowa,30,6.5,0,-1
2010-10-30,Michigan State,6,Iowa,37,6.5,1,31
2010-11-20,Ohio State,20,Iowa,17,-3,0,-3
2011-09-03,Tennessee Tech,7,Iowa,34, ,1,27
2011-09-17,Pittsburgh,27,Iowa,31,3,1,4
2011-09-24,UL-Monroe,17,Iowa,45,17,1,28
2011-10-15,Northwestern,31,Iowa,41,6,1,10
2011-10-22,Indiana,24,Iowa,45,23,1,21
2011-11-05,Michigan,16,Iowa,24,-4,1,8
2011-11-12,Michigan State,37,Iowa,21,-3,0,-16
2012-09-08,Iowa State,9,Iowa,6,3.5,0,-3
2012-09-15,Northern Iowa,16,Iowa,27, ,1,11
2012-09-22,Central Michigan,32,Iowa,31,14.5,0,-1
2012-09-29,Minnesota,13,Iowa,31,6,1,18
2012-10-20,Penn State,38,Iowa,14,1,0,-24
2012-11-10,Purdue,27,Iowa,24,5,0,-3
2012-11-23,Nebraska,13,Iowa,7,-15,0,-6
2013-08-31,Northern Illinois,30,Iowa,27,3,0,-3
2013-09-07,Missouri State,14,Iowa,28, ,1,14
2013-09-21,Western Michigan,3,Iowa,59,16,1,56
2013-10-05,Michigan State,26,Iowa,14,2,0,-12
2013-10-26,Northwestern,10,Iowa,17,3.5,1,7
2013-11-02,Wisconsin,28,Iowa,9,-9,0,-19
2013-11-23,Michigan,21,Iowa,24,5.5,1,3
2014-08-30,Northern Iowa,23,Iowa,31,,1,8
2014-09-06,Ball State,13,Iowa,17,17.5,1,4
2014-09-13,Iowa State,20,Iowa,17,13.5,0,-3
2014-10-11,Indiana,29,Iowa,45,,1,16
2014-11-01,Northwestern,7,Iowa,48,,1,41
2014-11-22,Wisconsin,26,Iowa,24,,0,-2
2014-11-29,Nebraska,37,Iowa,34,,0,-3
2015-09-05,Illinois State,14,Iowa,31,,1,17
2015-09-19,Pittsburgh,24,Iowa,27,,1,3
2015-09-26,North Texas,16,Iowa,62,,1,46
2015-10-10,Illinois,20,Iowa,29,,1,9
2015-10-31,Maryland,15,Iowa,31,,1,16
2015-11-14,Minnesota,35,Iowa,40,,1,5
2015-11-21,Purdue,20,Iowa,40,,1,20
2016-09-03,Miami-Ohio,21,Iowa,45,,1,24
2016-09-10,Iowa State,3,Iowa,42,,1,39
2016-09-17,North Dakota State,23,Iowa,21,,0,-2
2016-10-01,Northwestern,38,Iowa,31,,0,-7
2016-10-22,Wisconsin,17,Iowa,9,,0,-8
2016-11-12,Michigan,13,Iowa,14,,1,1
2016-11-25,Nebraska,10,Iowa,40,,1,30
